timestamp,body_language,tone,facial_expression,overall,scenario
2025-03-24 17:28:21.373065,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:21.576561,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:21.740969,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:21.918508,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:22.086710,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:22.261850,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:22.429422,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:22.603054,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:22.769605,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:22.932781,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:23.095250,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:23.262883,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:23.429711,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:23.607360,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:23.770184,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:23.931253,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:24.098718,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:24.260375,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:24.425590,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:24.588860,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:24.751344,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:24.908035,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:25.064960,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:25.472039,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:25.624797,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:25.777643,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:25.938674,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:26.093730,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:26.251854,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:26.412788,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:26.706392,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:26.868282,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:27.035414,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:27.194526,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:27.363208,54.0,10,62.0,42.0,Job Interview
