timestamp,body_language,tone,facial_expression,overall,scenario
2025-03-24 17:37:46.221113,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:46.372934,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:46.523750,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:46.688816,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:46.850007,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:37:47.000373,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:37:47.160941,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:37:47.314236,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:37:47.467816,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:37:47.625404,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:37:47.776365,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:37:47.937683,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:37:48.091630,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:37:48.250771,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:37:48.410808,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:37:48.569323,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:37:48.724473,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:37:48.884385,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:37:49.035951,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:37:49.198537,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:37:49.365082,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:49.518788,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:49.678634,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:49.833444,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:49.983778,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:50.138642,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:50.596034,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:50.804245,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:51.005173,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:51.327642,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:51.496955,40.0,10,62.0,37.333333333333336,Job Interview
2025-03-24 17:37:51.653492,40.0,10,62.0,37.333333333333336,Job Interview
2025-03-24 17:37:51.807528,40.0,10,62.0,37.333333333333336,Job Interview
2025-03-24 17:37:51.966074,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:52.126576,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:37:52.284046,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:37:52.441078,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:52.602636,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:52.778594,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:52.945764,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:53.111814,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:53.272497,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:53.439696,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:53.591682,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:53.752565,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:53.910125,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:54.066514,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:54.220907,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:37:54.381413,54.0,10,62.0,42.0,Job Interview
