timestamp,body_language,tone,facial_expression,overall,scenario
2025-03-22 12:43:03.924809,54.0,50,62.0,55.333333333333336,Job Interview
2025-03-22 12:43:04.122774,54.0,50,62.0,55.333333333333336,Job Interview
2025-03-22 12:43:04.285276,54.0,50,62.0,55.333333333333336,Job Interview
2025-03-22 12:43:04.459261,54.0,50,62.0,55.333333333333336,Job Interview
2025-03-22 12:43:04.629791,54.0,50,62.0,55.333333333333336,Job Interview
2025-03-22 12:43:04.785223,54.0,50,62.0,55.333333333333336,Job Interview
2025-03-22 12:43:04.946148,54.0,50,62.0,55.333333333333336,Job Interview
2025-03-22 12:43:05.113097,54.0,50,62.0,55.333333333333336,Job Interview
2025-03-22 12:43:05.507488,68.0,50,44.0,54.0,Job Interview
2025-03-22 12:43:05.677050,68.0,50,44.0,54.0,Job Interview
2025-03-22 12:43:05.841526,68.0,50,44.0,54.0,Job Interview
2025-03-22 12:43:05.997401,68.0,50,44.0,54.0,Job Interview
2025-03-22 12:43:06.157223,68.0,50,44.0,54.0,Job Interview
2025-03-22 12:43:06.311879,68.0,50,44.0,54.0,Job Interview
2025-03-22 12:43:06.469704,68.0,50,44.0,54.0,Job Interview
2025-03-22 12:43:06.624500,68.0,50,44.0,54.0,Job Interview
2025-03-22 12:43:06.782388,68.0,50,44.0,54.0,Job Interview
2025-03-22 12:43:06.936021,68.0,50,44.0,54.0,Job Interview
2025-03-22 12:43:07.096965,68.0,50,44.0,54.0,Job Interview
2025-03-22 12:43:07.255265,68.0,50,62.0,60.0,Job Interview
2025-03-22 12:43:07.424101,54.0,50,62.0,55.333333333333336,Job Interview
2025-03-22 12:43:07.581061,54.0,50,62.0,55.333333333333336,Job Interview
2025-03-22 12:43:07.739056,54.0,50,44.0,49.333333333333336,Job Interview
2025-03-22 12:43:07.893187,68.0,50,44.0,54.0,Job Interview
2025-03-22 12:43:08.047703,68.0,50,44.0,54.0,Job Interview
2025-03-22 12:43:08.199465,68.0,50,44.0,54.0,Job Interview
2025-03-22 12:43:08.354237,68.0,50,62.0,60.0,Job Interview
2025-03-22 12:43:08.505786,68.0,50,62.0,60.0,Job Interview
2025-03-22 12:43:08.665082,68.0,50,62.0,60.0,Job Interview
2025-03-22 12:43:08.968476,68.0,50,62.0,60.0,Job Interview
2025-03-22 12:43:09.138137,68.0,50,62.0,60.0,Job Interview
2025-03-22 12:43:09.296069,68.0,50,44.0,54.0,Job Interview
2025-03-22 12:43:09.453650,68.0,50,44.0,54.0,Job Interview
2025-03-22 12:43:09.612093,68.0,50,62.0,60.0,Job Interview
2025-03-22 12:43:09.767399,68.0,50,62.0,60.0,Job Interview
2025-03-22 12:43:09.928835,68.0,50,62.0,60.0,Job Interview
2025-03-22 12:43:10.088275,68.0,50,62.0,60.0,Job Interview
2025-03-22 12:43:10.342959,68.0,50,62.0,60.0,Job Interview
2025-03-22 12:43:10.654176,68.0,50,62.0,60.0,Job Interview
2025-03-22 12:43:10.879281,68.0,50,62.0,60.0,Job Interview
2025-03-22 12:43:11.093338,68.0,50,62.0,60.0,Job Interview
2025-03-22 12:43:11.256795,68.0,50,62.0,60.0,Job Interview
2025-03-22 12:43:11.418143,68.0,50,62.0,60.0,Job Interview
2025-03-22 12:43:11.587862,68.0,50,44.0,54.0,Job Interview
